50uM norfloxacin3,,30uM,,30uM,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
292.9891357,0.8987352252,292.9847717,0.3870366812,292.9847717,0.3870366812,
292.0096436,0.9369889498,292.0049744,0.4136256874,292.0049744,0.4136256874,
290.9908752,0.9858384132,290.9858704,0.442866981,290.9858704,0.442866981,
290.0112305,1.034422755,290.0058899,0.4761145711,290.0058899,0.4761145711,
288.9922485,1.092859268,288.9865723,0.5170485973,288.9865723,0.5170485973,
288.0123291,1.160945535,288.0063171,0.5675704479,288.0063171,0.5675704479,
286.993103,1.230425477,286.9867859,0.6135400534,286.9867859,0.6135400534,
286.0130005,1.300349832,286.0063171,0.6639920473,286.0063171,0.6639920473,
284.9935303,1.379605055,284.9865723,0.7257723808,284.9865723,0.7257723808,
284.0131836,1.458694696,284.0058594,0.7781248093,284.0058594,0.7781248093,
282.9934998,1.547628045,282.9858398,0.8457665443,282.9858398,0.8457665443,
282.01297,1.614918232,282.0049438,0.9013872147,282.0049438,0.9013872147,
280.993042,1.707965493,280.9847107,0.9675517082,280.9847107,0.9675517082,
280.0122375,1.779677749,280.0035706,1.029353619,280.0035706,1.029353619,
278.9921265,1.853309751,278.9831238,1.086520672,278.9831238,1.086520672,
278.0111389,1.9143852,278.0018005,1.140007854,278.0018005,1.140007854,
276.9907837,1.967127323,276.9811401,1.177723765,276.9811401,1.177723765,
276.0095825,1.998532772,275.9995728,1.207586408,275.9995728,1.207586408,
274.9889832,2.026572704,275.0179443,1.228787899,275.0179443,1.228787899,
274.0075989,2.026711226,273.9969482,1.238474011,273.9969482,1.238474011,
272.9867859,2.023794651,273.0150452,1.237278223,273.0150452,1.237278223,
272.005127,1.996023536,271.9938049,1.226601481,271.9938049,1.226601481,
270.9841614,1.968223691,271.0117798,1.206731081,271.0117798,1.206731081,
270.0023193,1.927658916,269.9903259,1.175372839,269.9903259,1.175372839,
268.9810791,1.866287708,269.0080566,1.138277888,269.0080566,1.138277888,
267.9990234,1.798773527,267.9863586,1.093006611,267.9863586,1.093006611,
267.0168762,1.75196898,267.0038757,1.052536368,267.0038757,1.052536368,
265.9953308,1.674744606,265.9820251,0.9988362193,265.9820251,0.9988362193,
265.0129395,1.604472399,264.9993286,0.9455659389,264.9993286,0.9455659389,
263.9912109,1.538012624,264.0165405,0.8967387676,264.0165405,0.8967387676,
263.0086365,1.468607426,262.9943237,0.8439049721,262.9943237,0.8439049721,
261.9866638,1.396451473,262.011322,0.7922096252,262.011322,0.7922096252,
261.0038757,1.335468292,260.9888916,0.744958818,260.9888916,0.744958818,
259.98172,1.277661204,260.0057068,0.7096189857,260.0057068,0.7096189857,
258.9987488,1.233225822,258.9831238,0.6669135094,258.9831238,0.6669135094,
258.015686,1.16731286,257.9996948,0.6214113832,257.9996948,0.6214113832,
256.9931946,1.112648129,257.0162354,0.5860306025,257.0162354,0.5860306025,
256.0099182,1.062378168,255.9932861,0.5447394252,255.9932861,0.5447394252,
254.9872437,1.015824795,255.0095825,0.5085124373,255.0095825,0.5085124373,
254.0037842,0.9785482883,253.9864655,0.477232188,253.9864655,0.477232188,
252.9808655,0.9410717487,253.0025787,0.4502543211,253.0025787,0.4502543211,
251.9972229,0.907263279,252.0186005,0.4293077588,252.0186005,0.4293077588,
251.0134735,0.8779126406,250.995163,0.4051266313,250.995163,0.4051266313,
249.9902954,0.8618232608,250.0109863,0.3898202181,250.0109863,0.3898202181,
249.0063477,0.8437408209,248.987381,0.3788208663,248.987381,0.3788208663,
247.9829407,0.8360692263,248.0029755,0.3712386489,248.0029755,0.3712386489,
246.9987946,0.8352924585,247.0185394,0.3671936095,247.0185394,0.3671936095,
246.0145874,0.8236583471,245.9945831,0.3633083105,245.9945831,0.3633083105,
244.99086,0.8216027617,245.0099335,0.3612414896,245.0099335,0.3612414896,
244.0064392,0.8181903362,243.9858093,0.3591620326,243.9858093,0.3591620326,
242.9825592,0.8042687178,243.0009766,0.356852591,243.0009766,0.356852591,
241.9979706,0.8119204044,242.016037,0.3558694422,242.016037,0.3558694422,
241.0132599,0.8055558205,240.9915924,0.354483366,240.9915924,0.354483366,
239.9890747,0.8126415014,240.0065002,0.3549221158,240.0065002,0.3549221158,
239.0041962,0.812782228,238.9818726,0.3561365604,238.9818726,0.3561365604,
238.0192108,0.8156765699,237.9965668,0.3583847582,237.9965668,0.3583847582,
236.9947662,0.8092291355,237.0111847,0.3604462743,237.0111847,0.3604462743,
236.0096283,0.8200935721,235.9862823,0.3629927635,235.9862823,0.3629927635,
234.9849548,0.8269718289,235.0007019,0.3660370708,235.0007019,0.3660370708,
233.999588,0.8317079544,234.0150604,0.3696028888,234.0150604,0.3696028888,
233.0141754,0.834190309,232.9898682,0.3744129539,232.9898682,0.3744129539,
231.9892578,0.8439465165,232.0039978,0.3784098625,232.0039978,0.3784098625,
231.0036469,0.852219224,231.0180817,0.381954819,231.0180817,0.381954819,
230.0179749,0.8461933136,229.99263,0.3863677979,229.99263,0.3863677979,
228.9927521,0.8578287363,229.0065308,0.3891800046,229.0065308,0.3891800046,
228.0068512,0.8708383441,227.9808502,0.3924901485,227.9808502,0.3924901485,
226.9814911,0.8660167456,226.9945984,0.3966232836,226.9945984,0.3966232836,
225.9954376,0.874435246,226.008194,0.4010225236,226.008194,0.4010225236,
225.0093079,0.8830983639,224.9823151,0.404489547,224.9823151,0.404489547,
223.9836273,0.8822541237,223.9957428,0.4061667323,223.9957428,0.4061667323,
222.997345,0.8841082454,223.0091248,0.4052808881,223.0091248,0.4052808881,
222.0109406,0.8769490123,221.9829407,0.4034928083,221.9829407,0.4034928083,
220.9850159,0.8794668913,220.9961395,0.4001128674,220.9961395,0.4001128674,
219.9984436,0.8703581691,220.0092468,0.3972871006,220.0092468,0.3972871006,
219.0118256,0.867436707,218.9828033,0.3960767984,218.9828033,0.3960767984,
217.985611,0.8721042871,217.9957581,0.3950320482,217.9957581,0.3950320482,
216.9988251,0.8695132732,217.0086212,0.3952867687,217.0086212,0.3952867687,
216.0119019,0.8723755479,215.9818878,0.3966569006,215.9818878,0.3966569006,
214.9854584,0.8776386976,214.9945984,0.3997810185,214.9945984,0.3997810185,
213.9983978,0.8852529526,214.0072021,0.4033928216,214.0072021,0.4033928216,
213.011261,0.8875005841,213.0197601,0.4068161845,213.0197601,0.4068161845,
211.9845428,0.8960261941,211.992691,0.4129963517,211.992691,0.4129963517,
210.9972534,0.9161247611,211.0050812,0.4205303788,211.0050812,0.4205303788,
210.0098572,0.9217504859,210.0173492,0.4286797047,210.0173492,0.4286797047,
208.9828949,0.9286929369,208.9900665,0.4384987354,208.9900665,0.4384987354,
207.9953461,0.9476091266,208.002182,0.44858253,208.002182,0.44858253,
207.0077057,0.9565179348,207.0142365,0.4594790936,207.0142365,0.4594790936,
205.9805145,0.9665537477,205.9866791,0.4722699821,205.9866791,0.4722699821,
204.9927216,0.9758118987,204.9985809,0.4827315211,204.9985809,0.4827315211,
204.0048676,0.9868391156,204.0103607,0.4926426411,204.0103607,0.4926426411,
203.016922,0.9945573211,202.9825897,0.5029947758,202.9825897,0.5029947758,
201.9893951,0.9967747927,201.9942322,0.5097332597,201.9942322,0.5097332597,
201.0013123,0.992566824,201.0058289,0.5188537836,201.0058289,0.5188537836,
200.0131378,1.002663493,200.017334,0.5261642933,200.017334,0.5261642933,

50uM norfloxacin3,
50uM norfloxacin3
Collection Time: 1/21/2016 9:03:02 PM
Operator Name  :
Scan Version 5.0.0.999
Parameter List :
Instrument  Cary 60
Instrument Version  2.00
Start (nm)  400.0
Stop (nm)  200.0
X Mode  Nanometers
Y Mode  Abs
UV-Vis Scan Rate (nm/min)  600.000
UV-Vis Data Interval (nm)  1.00
UV-Vis Ave. Time (sec)  0.1000
Beam Mode  Dual Beam
Baseline Correction  On
Baseline Type  Baseline correction
Baseline File Name
Baseline Std Ref File Name
Cycle Mode  Off
Method Log     :
Method Name    :
Date/Time stamp: 12/30/2015 1:26:56 PM
Method Modifications:
UVVIS SAT Changed: 1/4/2016 3:03:58 PM, Old:0.0125, New:0.1000
Common SAT Changed: 1/4/2016 3:03:58 PM, Old:0.0125, New:0.1000
X Start nm Changed: 1/4/2016 3:04:04 PM, Old:  800.0, New:  400.0
Common Interval nm Changed: 1/4/2016 3:04:04 PM, Old:     5.00, New:     1.00
Baseline Correction Changed: 1/4/2016 3:04:04 PM, Old:0, New:1
End Method Modifications
<Current Wavelength> , 200.0

30uM,
30uM
Collection Time: 1/5/2016 1:56:33 PM
Operator Name  :
Scan Version 5.0.0.999
Parameter List :
Instrument  Cary 60
Instrument Version  2.00
Start (nm)  400.0
Stop (nm)  200.0
X Mode  Nanometers
Y Mode  Abs
UV-Vis Scan Rate (nm/min)  600.000
UV-Vis Data Interval (nm)  1.00
UV-Vis Ave. Time (sec)  0.1000
Beam Mode  Dual Beam
Baseline Correction  On
Baseline Type  Baseline correction
Baseline File Name
Baseline Std Ref File Name
Cycle Mode  Off
Method Log     :
Method Name    :
Date/Time stamp: 12/30/2015 1:26:56 PM
Method Modifications:
UVVIS SAT Changed: 1/4/2016 3:03:58 PM, Old:0.0125, New:0.1000
Common SAT Changed: 1/4/2016 3:03:58 PM, Old:0.0125, New:0.1000
X Start nm Changed: 1/4/2016 3:04:04 PM, Old:  800.0, New:  400.0
Common Interval nm Changed: 1/4/2016 3:04:04 PM, Old:     5.00, New:     1.00
Baseline Correction Changed: 1/4/2016 3:04:04 PM, Old:0, New:1
End Method Modifications
<Current Wavelength> , 204.0

30uM,
30uM
Collection Time: 1/5/2016 1:56:33 PM
Operator Name  :
Scan Version 5.0.0.999
Parameter List :
Instrument  Cary 60
Instrument Version  2.00
Start (nm)  400.0
Stop (nm)  200.0
X Mode  Nanometers
Y Mode  Abs
UV-Vis Scan Rate (nm/min)  600.000
UV-Vis Data Interval (nm)  1.00
UV-Vis Ave. Time (sec)  0.1000
Beam Mode  Dual Beam
Baseline Correction  On
Baseline Type  Baseline correction
Baseline File Name
Baseline Std Ref File Name
Cycle Mode  Off
Method Log     :
Method Name    :
Date/Time stamp: 12/30/2015 1:26:56 PM
Method Modifications:
UVVIS SAT Changed: 1/4/2016 3:03:58 PM, Old:0.0125, New:0.1000
Common SAT Changed: 1/4/2016 3:03:58 PM, Old:0.0125, New:0.1000
X Start nm Changed: 1/4/2016 3:04:04 PM, Old:  800.0, New:  400.0
Common Interval nm Changed: 1/4/2016 3:04:04 PM, Old:     5.00, New:     1.00
Baseline Correction Changed: 1/4/2016 3:04:04 PM, Old:0, New:1
End Method Modifications
<Current Wavelength> , 204.0

